fechaTweet,tweet,numeroLikes,numeroRetweets,longitud,
2020-02-23 19:13:33,RT @CanalCapital: ¿Interesado en esterilizar a su mascota? Prográmese con estas nuevas jornadas que se llevarán a cabo en cuatro zonas de l…,0,6,140,
2020-02-23 19:13:24,"RT @RotaDatos: 🔴 Así es como debes acariciar a tu gato, según la ciencia #Mascotas https://t.co/3XjtEADM25",0,1,106,
2020-02-23 19:13:19,"Sabemos que te gusta cuidar tus mascotas y tu compañero inseparable, los perros entre otros  también  sufren x las… https://t.co/WKrSnQeceM",0,0,139,
2020-02-23 19:13:02,RT @CanalCapital: ¿Interesado en esterilizar a su mascota? Prográmese con estas nuevas jornadas que se llevarán a cabo en cuatro zonas de l…,0,6,140,
2020-02-23 19:13:02,RT @Nick_Karter_: Jorge José Winston Abbott Charme: Que no queden impune los Haitianos que viven en chile quienes comen nuestras mascotas.…,0,1,139,
2020-02-23 19:12:33,"RT @Canal_BoliviaTV: #BTVInforma l Voluntarios piden a la población medicamentos, alimentos y agua para las mascotas que fueron rescatadas…",0,4,139,
2020-02-23 19:12:29,"RT @Canal_BoliviaTV: #BTVInforma l Voluntarios piden a la población medicamentos, alimentos y agua para las mascotas que fueron rescatadas…",0,4,139,
2020-02-23 19:12:26,"RT @DeportesCuatro: 😂🏀 Definitivamente lo de las mascotas en la #NBA es otro rollo 
https://t.co/20ekGPIr4g",0,60,107,
2020-02-23 19:12:14,"RT @TabascoHOY: ➡️ Sin vacuna, mal alimentados, expuestos al sol o la lluvia, es como son vendidos perros en calles de #Villahermosa, sin u…",0,5,140,
2020-02-23 19:12:09,"RT @scubyrojo: @sunsetauron Aceptemoslo, Perxitaa es el Rubius de Karmaland. No puede tener mascotas.",0,1,101,
2020-02-23 19:12:08,🔴 Nuestras mascotas podrían contagiarnos con un nuevo virus potencialmente mortal #Alerta https://t.co/imy2OMoyKD,0,0,113,
2020-02-23 19:12:03,"RT @DUINCONSUELOC: ESTA REFLEXION VA PARA LOS QUE TIENEN MASCOTAS Y AUN VIVEN EN #VENEZUELA 

UNA MASCOTA LA ESCOGE UNO. UNO, PORQUE ASI LO…",0,268,140,
2020-02-23 19:12:02,"yo no he salido, próximamente saldré a otra cuidad y tomaré fotos porque ahora solo tengo de mis mascotas jsjd",0,0,110,
2020-02-23 19:11:59,"RT @010110101010b: @Frisach2 @MariaV_Iberica1 No dejan de ser como mascotas, lamen la mano de su dueño.",0,1,103,
2020-02-23 19:11:58,"RT @BAmascotas: Si necesitas vacunar a tu mascota contra la rabia o realizarle una atención veterinaria, acercate con tu perro o gato a los…",0,20,140,
2020-02-23 19:11:50,🔔 Se merece un monumento. Arriesga su vida para salvar a estos pobres animales abandonados a su suerte... https://t.co/lJPTptKbr9,0,0,129,
2020-02-23 19:11:45,🔴 La verdad sobre gatos y perros: ¿por qué comen hierba nuestras peludas mascotas? https://t.co/EsmgYufiS0,0,0,106,
2020-02-23 19:10:55,RT @LaloUrbanoM: Ya es algo OBVIO que el movimiento de mujeres mexicanas exigiendo que las protejan y no las maten el cual aparece en los t…,0,16,140,
2020-02-23 19:10:55,"Hoy tocó venir a ver a Don Arturo. Ya van seis años. en Cementerio De Mascotas ""parque De Asis"" https://t.co/UUX5wqYHPe",1,0,119,
2020-02-23 19:10:53,"@Frisach2 @MariaV_Iberica1 No dejan de ser como mascotas, lamen la mano de su dueño.",1,1,84,
2020-02-23 19:10:50,📌 Perros y gatos pueden transmitir a los humanos un nuevo virus potencialmente mortífero https://t.co/h7xiik4IX9,0,0,112,
