,Usuario,Texto,Dispositivo,Fecha Creacion,Ubicacion
0,MarthaPerezDiva #Méxicodeluto,RT @911Sonora: Nuestras mascotas también merecen una vida digna. Si sabes de algún animalito que sufra algún tipo de maltrato denuncia al 9…,Twitter for Android,2020-02-23 21:43:12,GUAYMAS SONORA
1,Fabián,RT @911Sonora: Nuestras mascotas también merecen una vida digna. Si sabes de algún animalito que sufra algún tipo de maltrato denuncia al 9…,Twitter for Android,2020-02-23 21:19:30,
2,Cassandra Lopez,RT @911Sonora: Nuestras mascotas también merecen una vida digna. Si sabes de algún animalito que sufra algún tipo de maltrato denuncia al 9…,Twitter for iPhone,2020-02-23 21:13:42,
3,Vɪ́ᴄᴛᴏʀ Cᴜᴇᴠᴀs,RT @911Sonora: Nuestras mascotas también merecen una vida digna. Si sabes de algún animalito que sufra algún tipo de maltrato denuncia al 9…,Twitter Web App,2020-02-23 21:12:51,"Hermosillo, Sonora"
4,David Anaya Cooley,RT @911Sonora: Nuestras mascotas también merecen una vida digna. Si sabes de algún animalito que sufra algún tipo de maltrato denuncia al 9…,Twitter for iPhone,2020-02-23 21:08:04,
5,Guadalupe valenzuela,RT @911Sonora: Nuestras mascotas también merecen una vida digna. Si sabes de algún animalito que sufra algún tipo de maltrato denuncia al 9…,Twitter for iPhone,2020-02-23 21:05:32,"Navojoa, Sonora"
6,911Sonora,Nuestras mascotas también merecen una vida digna. Si sabes de algún animalito que sufra algún tipo de maltrato denu… https://t.co/LpI01iqkAn,Twitter for iPhone,2020-02-23 21:03:49,Estado de Sonora
7,MarisolEF,RT @CHVNoticias: Declaran admisible querella contra tienda de mascotas en Quilpué por maltrato animal y contrabando de especies exóticas  h…,Twitter for Android,2020-02-23 19:35:22,
8,WAPA,"Joaquin Phoenix, el protector de los animales: rescata a una vaca y su cría del matadero. https://t.co/4udEFnPZvL https://t.co/LogxzGi1ZK",TweetDeck,2020-02-23 19:00:00,Lima - Perú
9,Nadia Rivas,RT @CHVNoticias: Declaran admisible querella contra tienda de mascotas en Quilpué por maltrato animal y contrabando de especies exóticas  h…,Twitter for iPhone,2020-02-23 18:51:31,
